title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
WESEP 5010: Wind Energy Resources,"Forecasting, wind measurement and analysis, site placement, aerodynamic principles associated with blade design, power generation technologies, power electronic topologies used in wind energy conversion, collection circuits, and grid operation with high wind penetration.",https://catalog.iastate.edu/azcourses/wesep/,3.5,Power Generation,use-3,"{""power generation"": 1}"
