title,description,source,relevance_score,matched_keywords,matched_groups,keyword_frequencies
"['CHM\xa02046 General Chemistry 2', '3 Credits']","The second semester of the CHM 2045/CHM 2045L and CHM 2046/CHM 2046L sequence. Students who completed CHM 2045 or equivalent at another institution should consult a chemistry advisor before registering for this course. Acids and bases, additional aspects of chemical equilibria, thermodynamics, electrochemistry, complex ions and descriptive chemistry. (P)",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHM\xa02051 Honors General Chemistry 2', '3 Credits']","Second semester of the CHM 2045/CHM 2045L and CHM 2051/CHM 2046L sequence. Open to students with superior performance in CHM 2045 or its equivalent. Acids and bases, additional aspects of chemical equilibria, thermodynamics, electrochemistry, complex ions, descriptive chemistry and instructor-chosen topics. (P)",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHM\xa02096 Chemistry for Engineers 2', '3 Credits']","Second in a two-semester sequence. Topics include chemical equilibria, acid-base and solubility equilibria, entropy, free energy, electrochemical devices, solution dynamics, and descriptive inorganic and organic chemistry. All topics taught in an engineering case-study context. (P)",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
"['CHM\xa03120 Introduction to Analytical Chemistry', '3 Credits']","Principles involved in quantitative analysis. Topics include acid-base equilibria and titrations, precipitation and complex formation, oxidation reduction and statistical treatment of data. Introduces spectrochemical and electrochemical methods of analysis and chemical separations.",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
"['PHZ\xa03152 Advanced Computational Techniques', '3 Credits']",Advanced Computational Techniques in Astronomy and Physics. Advanced techniques in computational methods in the natural sciences and numerical analysis. Includes version controlling and programming in distributed environments; grid construction and convergence techniques; numerical differentiation; linear algebra; root finding; differential equations; Monte Carlo simulations; open source project development.,https://catalog.ufl.edu/UGRD/courses/astronomy_and_astrophysics/,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
"['CHM\xa03400 Physical Chemistry for the Biosciences', '3 Credits']","Thermodynamics, electrochemistry, transport, chemical kinetics and molecular structure with emphasis on biological systems.",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['CHM\xa04130 Instrumental Analysis', '3 Credits']",Concepts of instrumentation for chemical analysis. In-depth examination of spectrochemical and electrochemical methods and chemical separations.,https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
"['CHM\xa04308 Introduction to Enzyme Mechanism', '3 Credits']","Principles of enzyme structure, isolation and purification and principles of the physical chemistry of enzyme/substrate interactions. Overview of concepts of biological catalysis, including transition state theory, descriptions and examples of mechanisms of biochemical catalysis, survey of co-factors, and catalytic antibodies, ribozyme structure and catalysis.",https://catalog.ufl.edu/UGRD/courses/chemistry/,4.5,Catalysis,production-3,"{""catalysis"": 3}"
"['CHM\xa04411 Physical Chemistry: Thermodynamics and Kinetics', '4 Credits']","Gas laws, kinetic theory, classical and statistical thermodynamics and applications to solutions, phase equilibria, chemical equilibria and electrochemistry.",https://catalog.ufl.edu/UGRD/courses/chemistry/,2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
"['BCH\xa04024 Introduction to Biochemistry and Molecular Biology', '4 Credits']","Introduces physical biochemistry, intermediary metabolism and molecular biology. Topics include a survey of structure, chemistry and function of proteins and nucleic acids, enzyme kinetics and mechanisms of catalysis; a survey of the pathways of carbohydrate, lipid and nitrogen metabolism and their metabolic control; regulation of gene expression at the level of DNA, RNA and protein synthesis.",https://catalog.ufl.edu/UGRD/courses/biochemistry-and-molecular-biology/,3.5,Catalysis,production-3,"{""catalysis"": 1}"
