title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
BUSA 2010 - Special Topics in Business Concepts,"An elective developed with business majors in mind but is open to non‐business majors to enroll. This course provides an introductory overview of core ideas, terms, and frameworks that act as building blocks for further business study. Topics may include risk assessment, forms of business ownership, disruptive technologies, competitive strategy, money management and investing, insurance, ethics and corporate social responsibility, career exploration, sustainability challenges and opportunities, business models, and product development and business innovation.",6.0,Risk Assessment;Sustainability,sustainability_and_policy-4;technical_skills-1,"{""sustainability"": 1, ""risk assessment"": 1}"
CIVT 3001K - Introduction to Environmental Engineering,"The course discusses fundamental chemical, physical, and biological principles in environmental engineering and science. The topics include environmental pollution, solid and hazardous waste, air pollution, water quality considerations, water and wastewater treatment, the sustainability of environmental systems, and the impacts and risks associated with environmental pollution.",6.0,Water Quality;Sustainability,sustainability_and_policy-4;technical_skills-1,"{""sustainability"": 1, ""water quality"": 1}"
HSEM 3823 - Data Analytics for Homeland Security & Emergency Management Decision Making,"This course provides in-depth study of data analytics and visualization tools useful for homeland security and emergency management (HSEM) decision making. The course will examine use of databases, analytic techniques and visualization tools, geospatial and computational technologies, software, information communication, management and other tools in HSEM settings. It includes the use of hazard analysis and mapping software applications, including geographic information systems (GIS), security intelligence, and incident management technologies. This course will be cross listed with HSEM 3822: Tools for HSEM Decision making.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
GEOG 3302 - Geographic Information System & Spatial Analysis,"This course is designed to provide basic knowledge of Geographic Information Systems (GIS) theory and applications using the existing state-of-the-art GIS software: ArcGIS. The students will learn the basic concepts of GIS design and structure and to understand the concept and application of spatial data analysis. By the end of the course, students are expected to have a thorough understanding of GIS functionality, methodology for implementing the technology, and its potential usefulness in a variety of social problems.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
MECT 4301K - Heat and Mass Transfer,"An introduction to heat transfer by conduction, convection, radiation and its application to engines, heat exchangers, air conditioners, and refrigeration systems.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
MECT 4201K - Robotics Application,"This course will provide instruction in the basic principle and application of robotics in practice. With a focus on industrial robotic applications, this course will include: basic robotic principles, power supplies, motion control, sensors, grippers, control systems, robotic vision and maintenance.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
MECT 4101 - Machine Design,"A study in the design of machines, and machine elements. The course focuses on power transmissions in machines including gears, belts, pulleys, bearings, lubrication, clutches, brakes, chains, power screws, and gear trains. Application of principles of geometric dimensioning and tolerancing will be covered. Stress calculations and material selection are discussed. Students will work in design teams on various design projects.",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
MECT 3411 - Thermodynamics,"The fundamentals of thermodynamics. Use of gas tables will be introduced. Property relations for ideal gasses and incompressible liquid will be introduced. Application of first and second laws to closed and open systems will be studied. Heat engines, refrigerators, heat pumps, availability, and irreversibility will be studied. Emphasis will also be placed on application of thermodynamics, i. e. , on combustion, internal and external combustion cycles, gas turbine, compressors, refrigeration and air conditioning processes.",7.0,Gas Turbine;Combustion;Compressors,delivery_and_storage-3;engineering_capabilities-2,"{""compressors"": 1, ""gas turbine"": 1, ""combustion"": 2}"
MATH 3115 - Mathematical Data Analytics,The objective of this course is to provide conceptual as well as hands-on experience of working with big data set with the aid of structured programmatic skills to develop a scientific approach towards mathematical data analytics. An introduction to predictive analytics will be followed by demonstrating its applications on imported data to discover meaningful patterns and trends. Various statistical (machine) learning techniques will be introduced and their advantages/disadvantages in supporting a selected data-driven learning system will be discussed.,1.5,Predictive Analytics,technical_skills-1,"{""predictive analytics"": 1}"
MGNT 4169 - Quality Management,"An introduction to the topic of quality in the management of modern organizations. Approaches of the major contributors such as Deming, Juran, and others are examined. This course provides business students with a set of skills for achieving and maintaining quality and process or service control. The course emphasizes the strategic importance of quality, statistical process control methods, problem-solving tools, and the management of quality.",1.5,Process Control,technical_skills-1,"{""process control"": 1}"
MGNT 4165 - Human Resource Management,"A course focusing on the principles, practices, and scientific techniques and methods involved in the development and operation of an effective personnel and industrial relations program. The topics covered include the methods and procedures used by business management in recruiting, selecting, and maintaining an efficient work force.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGNT 3185 - Operations Management,"This course focuses on the issues and techniques relevant to the management of the operations function within an organization, emphasizing its strategic significance. Operations Management is an introductory level course designed to expose students to the dynamic forces, which are responsible for shaping the business environment. The subject matter represents a blend of concepts from industrial engineering, cost accounting, general management, quantitative methods, and statistics. Students will learn about operations activities such as forecasting, scheduling, product and design service, capacity planning and project management to name a few. As with many core courses in business, the foundation of this course relies on teaching students sound decisionmaking principles. The basic quantitative techniques presented are essential to developing and nurturing students’ decision-making skills.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
